timestamp,eyes_detected,drowsiness_score,yawn_detected,looking_away,blink_rate,drowsy_events,yawn_events,looking_away_events
2026-04-14 16:01:35.406,3,0.00,False,True,0.0,0,0,0
2026-04-14 16:01:35.647,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:01:35.777,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:01:35.898,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:01:36.039,0,0.20,False,True,30.0,0,0,0
2026-04-14 16:01:36.143,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.276,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.399,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.558,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.663,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.782,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:01:36.919,0,0.20,False,True,30,0,0,0
2026-04-14 16:01:37.032,2,0.00,False,True,30,0,0,0
2026-04-14 16:01:37.138,0,0.20,False,True,30,0,0,0
2026-04-14 16:01:37.228,0,0.40,False,True,30,0,0,0
2026-04-14 16:01:37.345,0,0.60,False,True,30,0,0,0
2026-04-14 16:01:37.509,3,0.40,False,True,30,0,0,0
2026-04-14 16:01:37.603,0,0.60,False,True,30,0,0,0
2026-04-14 16:01:37.703,1,0.80,False,True,30,0,0,0
2026-04-14 16:01:37.836,3,0.60,False,True,30,0,0,0
2026-04-14 16:01:37.946,0,0.80,False,True,30,0,0,0
2026-04-14 16:01:40.254,0,1.00,False,True,30,0,0,0
2026-04-14 16:01:40.356,2,0.80,False,True,30,0,0,0
2026-04-14 16:01:40.463,2,0.60,False,True,30,0,0,0
2026-04-14 16:01:40.542,2,0.40,False,True,30,0,0,0
2026-04-14 16:01:40.619,2,0.20,False,True,30,0,0,0
2026-04-14 16:01:40.699,2,0.00,False,True,30,0,0,0
2026-04-14 16:01:40.778,2,0.00,False,True,30,0,0,0
