timestamp,eyes_detected,drowsiness_score,yawn_detected,looking_away,blink_rate,drowsy_events,yawn_events,looking_away_events
2026-04-14 16:07:46.848,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.029,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.125,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.219,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.324,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.412,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.536,2,0.00,False,True,0.0,0,0,0
2026-04-14 16:07:47.643,1,0.20,False,True,30.0,0,0,0
2026-04-14 16:07:47.742,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:47.914,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.026,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.125,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.211,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.331,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.467,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.552,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.687,3,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.830,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:48.967,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.045,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.124,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.209,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.294,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.442,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.568,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.685,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.806,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:49.905,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:50.046,2,0.00,False,True,30.0,0,0,0
2026-04-14 16:07:50.126,2,0.00,False,True,30.0,0,0,0
