timestamp,eyes_detected,drowsiness_score,drowsy_event,event_count
2026-04-15 10:47:34.417,3,1.00,True,1
2026-04-15 10:47:34.564,3,1.00,True,1
2026-04-15 10:47:34.686,3,1.00,True,1
2026-04-15 10:47:34.818,3,1.00,True,1
2026-04-15 10:47:37.074,2,1.00,True,1
2026-04-15 10:47:37.177,0,1.00,True,1
2026-04-15 10:47:37.271,0,1.00,True,1
2026-04-15 10:47:37.388,0,1.00,True,1
2026-04-15 10:47:37.477,0,1.00,True,1
2026-04-15 10:47:37.590,0,1.00,True,1
2026-04-15 10:47:37.692,1,1.00,True,1
2026-04-15 10:47:37.806,3,1.00,True,1
2026-04-15 10:47:40.087,2,1.00,True,1
2026-04-15 10:47:40.188,0,1.00,True,1
2026-04-15 10:47:40.302,0,1.00,True,1
2026-04-15 10:47:40.423,0,1.00,True,1
2026-04-15 10:47:40.524,0,1.00,True,1
2026-04-15 10:47:40.612,1,1.00,True,1
2026-04-15 10:47:40.738,0,1.00,True,1
2026-04-15 10:47:40.876,0,1.00,True,1
2026-04-15 10:47:43.115,0,1.00,True,1
2026-04-15 10:47:43.214,1,1.00,True,1
2026-04-15 10:47:43.299,1,1.00,True,1
2026-04-15 10:47:43.422,1,1.00,True,1
2026-04-15 10:47:43.533,0,1.00,True,1
2026-04-15 10:47:43.650,0,1.00,True,1
2026-04-15 10:47:43.735,0,1.00,True,1
2026-04-15 10:47:43.848,0,1.00,True,1
2026-04-15 10:47:43.925,0,1.00,True,1
2026-04-15 10:47:46.151,0,1.00,True,1
2026-04-15 10:47:46.249,1,1.00,True,1
2026-04-15 10:47:46.325,0,1.00,True,1
2026-04-15 10:47:46.429,0,1.00,True,1
2026-04-15 10:47:46.531,0,1.00,True,1
2026-04-15 10:47:46.627,1,1.00,True,1
2026-04-15 10:47:46.716,0,1.00,True,1
2026-04-15 10:47:46.811,0,1.00,True,1
2026-04-15 10:47:46.941,0,1.00,True,1
2026-04-15 10:47:49.213,0,1.00,True,1
2026-04-15 10:47:49.311,0,1.00,True,1
2026-04-15 10:47:49.394,0,1.00,True,1
2026-04-15 10:47:49.510,0,1.00,True,1
2026-04-15 10:47:49.624,0,1.00,True,1
2026-04-15 10:47:49.722,0,1.00,True,1
2026-04-15 10:47:49.840,0,1.00,True,1
2026-04-15 10:47:49.943,0,1.00,True,1
2026-04-15 10:47:50.025,0,1.00,True,1
2026-04-15 10:47:52.279,0,1.00,True,1
2026-04-15 10:47:52.393,2,1.00,True,1
2026-04-15 10:47:52.480,2,1.00,True,1
2026-04-15 10:47:52.575,2,1.00,True,1
2026-04-15 10:47:52.681,3,1.00,True,1
2026-04-15 10:47:52.776,2,1.00,True,1
2026-04-15 10:47:52.927,2,1.00,True,1
2026-04-15 10:47:53.036,1,1.00,True,1
2026-04-15 10:47:55.305,0,1.00,True,1
2026-04-15 10:47:55.379,0,1.00,True,1
2026-04-15 10:47:55.439,0,1.00,True,1
2026-04-15 10:47:55.509,0,1.00,True,1
2026-04-15 10:47:55.564,0,1.00,True,1
2026-04-15 10:47:55.615,0,1.00,True,1
2026-04-15 10:47:55.697,0,1.00,True,1
2026-04-15 10:47:55.760,0,1.00,True,1
2026-04-15 10:47:55.821,0,1.00,True,1
